Ticker,DateAdded,DateRemoved
LUV,1900-01-01,9999-12-31
LVS,1900-01-01,9999-12-31
LW,1900-01-01,9999-12-31
LYB,1900-01-01,9999-12-31
LYFT,1900-01-01,9999-12-31
LYV,1900-01-01,9999-12-31
M,1900-01-01,9999-12-31
MA,1900-01-01,9999-12-31
MAA,1900-01-01,9999-12-31
MAN,1900-01-01,9999-12-31
MANH,1900-01-01,9999-12-31
MAR,1900-01-01,9999-12-31
MAS,1900-01-01,9999-12-31
MASI,1900-01-01,9999-12-31
MAT,1900-01-01,9999-12-31
MCD,1900-01-01,9999-12-31
MCHP,1900-01-01,9999-12-31
MCK,1900-01-01,9999-12-31
MCO,1900-01-01,9999-12-31
MDB,1900-01-01,9999-12-31
MDLN,1900-01-01,9999-12-31
MDLZ,1900-01-01,9999-12-31
MDT,1900-01-01,9999-12-31
MDU,1900-01-01,9999-12-31
MEDP,1900-01-01,9999-12-31
MET,1900-01-01,9999-12-31
META,1900-01-01,9999-12-31
MGM,1900-01-01,9999-12-31
MHK,1900-01-01,9999-12-31
MIDD,1900-01-01,9999-12-31
MKC,1900-01-01,9999-12-31
MKL,1900-01-01,9999-12-31
MKSI,1900-01-01,9999-12-31
MKTX,1900-01-01,9999-12-31
MLI,1900-01-01,9999-12-31
MLM,1900-01-01,9999-12-31
MMM,1900-01-01,9999-12-31
MNST,1900-01-01,9999-12-31
MO,1900-01-01,9999-12-31
MOH,1900-01-01,9999-12-31
MON,1900-01-01,9999-12-31
MORN,1900-01-01,9999-12-31
MOS,1900-01-01,9999-12-31
MP,1900-01-01,9999-12-31
MPC,1900-01-01,9999-12-31
MPT,1900-01-01,9999-12-31
MPWR,1900-01-01,9999-12-31
MRK,1900-01-01,9999-12-31
MRNA,1900-01-01,9999-12-31
MRP,1900-01-01,9999-12-31
MRSH,1900-01-01,9999-12-31
MRVL,1900-01-01,9999-12-31
MS,1900-01-01,9999-12-31
MSA,1900-01-01,9999-12-31
MSCI,1900-01-01,9999-12-31
MSFT,1900-01-01,9999-12-31
MSGS,1900-01-01,9999-12-31
MSI,1900-01-01,9999-12-31
MSM,1900-01-01,9999-12-31
MSTR,1900-01-01,9999-12-31
MTB,1900-01-01,9999-12-31
MTCH,1900-01-01,9999-12-31
MTD,1900-01-01,9999-12-31
MTDR,1900-01-01,9999-12-31
MTG,1900-01-01,9999-12-31
MTN,1900-01-01,9999-12-31
MTSI,1900-01-01,9999-12-31
MTZ,1900-01-01,9999-12-31
MU,1900-01-01,9999-12-31
MUSA,1900-01-01,9999-12-31
MWH,1900-01-01,9999-12-31
NBIX,1900-01-01,9999-12-31
NCLH,1900-01-01,9999-12-31
NCNO,1900-01-01,9999-12-31
NDAQ,1900-01-01,9999-12-31
NDSN,1900-01-01,9999-12-31
NEE,1900-01-01,9999-12-31
NEM,1900-01-01,9999-12-31
NET,1900-01-01,9999-12-31
NEU,1900-01-01,9999-12-31
NFG,1900-01-01,9999-12-31
NFLX,1900-01-01,9999-12-31
NI,1900-01-01,9999-12-31
NIQ,1900-01-01,9999-12-31
NKE,1900-01-01,9999-12-31
NLY,1900-01-01,9999-12-31
NNN,1900-01-01,9999-12-31
NOC,1900-01-01,9999-12-31
NOV,1900-01-01,9999-12-31
NOW,1900-01-01,9999-12-31
NRG,1900-01-01,9999-12-31
NSC,1900-01-01,9999-12-31
NTAP,1900-01-01,9999-12-31
NTNX,1900-01-01,9999-12-31
NTRA,1900-01-01,9999-12-31
NTRS,1900-01-01,9999-12-31
NU,1900-01-01,9999-12-31
NUE,1900-01-01,9999-12-31
NVDA,1900-01-01,9999-12-31
NVR,1900-01-01,9999-12-31
NVST,1900-01-01,9999-12-31
NVT,1900-01-01,9999-12-31
NWL,1900-01-01,9999-12-31
NWS,1900-01-01,9999-12-31
NWSA,1900-01-01,9999-12-31
NXPI,1900-01-01,9999-12-31
NXST,1900-01-01,9999-12-31
NYT,1900-01-01,9999-12-31
O,1900-01-01,9999-12-31
OC,1900-01-01,9999-12-31
ODFL,1900-01-01,9999-12-31
OGE,1900-01-01,9999-12-31
OGN,1900-01-01,9999-12-31
OHI,1900-01-01,9999-12-31
OKE,1900-01-01,9999-12-31
OKTA,1900-01-01,9999-12-31
OLED,1900-01-01,9999-12-31
OLLI,1900-01-01,9999-12-31
OLN,1900-01-01,9999-12-31
OMC,1900-01-01,9999-12-31
OMF,1900-01-01,9999-12-31
ON,1900-01-01,9999-12-31
ONON,1900-01-01,9999-12-31
