Date,Portfolio Value,Cash
2023-06-06,47618.83,0.0
2023-06-07,47651.95,0.0
2023-06-08,48123.95,0.0
2023-06-09,48443.39,0.0
2023-06-12,48777.59,0.0
2023-06-13,49219.35,0.0
2023-06-14,49302.69,0.0
2023-06-15,50002.55,0.0
2023-06-16,49649.19,0.0
2023-06-20,49466.57,0.0
2023-06-21,49606.31,0.0
2023-06-22,49756.4,0.0
2023-06-23,49571.57,0.0
2023-06-26,49812.49,0.0
2023-06-27,50387.48,0.0
2023-06-28,50308.41,0.0
2023-06-29,50573.33,0.0
2023-06-30,51250.05,0.0
2023-07-03,51222.2,0.0
2023-07-05,50862.69,0.0
2023-07-06,50154.54,0.0
2023-07-07,50437.7,0.0
2023-07-10,51285.09,0.0
2023-07-11,51761.38,0.0
2023-07-12,51836.38,0.0
2023-07-13,52234.12,0.0
2023-07-14,52112.37,0.0
2023-07-17,52323.25,0.0
2023-07-18,52850.09,0.0
2023-07-19,52490.5,0.0
2023-07-20,52006.55,0.0
2023-07-21,52023.45,0.0
2023-07-24,51953.12,0.0
2023-07-25,52202.71,0.0
2023-07-26,52058.07,0.0
2023-07-27,51905.47,0.0
2023-07-28,52563.92,0.0
2023-07-31,52927.01,0.0
2023-08-01,52820.89,0.0
2023-08-02,52721.7,0.0
2023-08-03,52656.52,0.0
2023-08-04,52776.63,0.0
2023-08-07,53548.9,0.0
2023-08-08,53253.4,0.0
2023-08-09,52000.1,0.0
2023-08-10,52091.04,0.0
2023-08-11,51559.26,0.0
2023-08-14,52073.84,0.0
2023-08-15,51586.37,0.0
2023-08-16,51172.08,0.0
2023-08-17,50324.56,0.0
2023-08-18,50711.89,0.0
2023-08-21,50983.17,0.0
2023-08-22,50903.4,0.0
2023-08-23,51707.6,0.0
2023-08-24,50848.26,0.0
2023-08-25,51317.46,0.0
2023-08-28,51771.08,0.0
2023-08-29,52710.63,0.0
2023-08-30,52944.91,0.0
2023-08-31,52706.41,0.0
