Date,Ticker,Action,Price,Shares,Portfolio Value
2023-03-01,SJM,SELL,128.7,17.642404,46924.15
2023-03-01,UNH,SELL,443.87,5.086129,46924.15
2023-03-01,WMB,SELL,25.83,85.883796,46924.15
2023-03-01,TRV,SELL,172.52,13.598298,46924.15
2023-03-01,SMCI,SELL,10.2,66.072964,46924.15
2023-03-01,VLO,SELL,126.08,0.678115,46924.15
2023-03-01,STLD,SELL,122.86,0.703499,46924.15
2023-03-01,GWW,SELL,652.13,0.475044,46924.15
2023-03-01,TRGP,SELL,70.58,0.977306,46924.15
2023-03-01,TPL,BUY,192.27,0.900724,46924.15
2023-03-01,SLB,BUY,50.59,0.167744,46924.15
2023-03-01,TKO,BUY,78.74,0.691563,46924.15
2023-03-01,VRTX,BUY,291.23,0.614438,46924.15
2023-03-01,ULTA,BUY,516.02,0.037392,46924.15
2023-03-01,URI,BUY,452.59,5.183942,46924.15
2023-03-01,ROST,BUY,106.68,1.326785,46924.15
2023-03-01,VICI,BUY,27.67,1.370012,46924.15
2023-03-01,TJX,BUY,73.56,31.896634,46924.15
2023-03-01,SBUX,BUY,93.63,25.057564,46924.15
2023-03-01,TMUS,BUY,135.11,1.010595,46924.15
2023-03-01,WYNN,BUY,108.55,21.613269,46924.15
2023-03-01,SNA,BUY,227.02,10.334861,46924.15
2023-03-01,WRB,BUY,41.29,1.155508,46924.15
2023-03-01,TT,BUY,178.8,13.122034,46924.15
2023-04-03,WRB,SELL,38.64,56.828647,46905.26
2023-04-03,TRGP,SELL,69.76,33.24291,46905.26
2023-04-03,TMUS,SELL,140.35,17.36455,46905.26
2023-04-03,VRTX,SELL,316.33,8.0562,46905.26
2023-04-03,SMCI,SELL,11.27,21.959391,46905.26
2023-04-03,WYNN,SELL,109.63,0.220305,46905.26
2023-04-03,TKO,SELL,84.17,1.931485,46905.26
2023-04-03,TPL,SELL,192.59,0.025043,46905.26
2023-04-03,GWW,SELL,663.95,0.06546,46905.26
2023-04-03,ULTA,SELL,551.19,0.291829,46905.26
2023-04-03,TJX,SELL,75.47,0.821446,46905.26
2023-04-03,SBUX,SELL,96.79,0.827086,46905.26
2023-04-03,STLD,BUY,108.1,2.598837,46905.26
2023-04-03,VLO,BUY,125.4,0.094557,46905.26
2023-04-03,URI,BUY,376.42,1.046482,46905.26
2023-04-03,SLB,BUY,48.23,2.249148,46905.26
2023-04-03,SNA,BUY,226.42,0.023065,46905.26
2023-04-03,ROST,BUY,105.05,0.331971,46905.26
2023-04-03,TT,BUY,177.63,0.081115,46905.26
2023-04-03,VICI,BUY,27.01,2.035369,46905.26
